key,name,date,value
5,Montclare,1991,1164142
5,Montclare,1992,1133747
5,Montclare,1993,1055486
5,Montclare,1994,1377654
5,Montclare,1995,2227961
5,Montclare,1996,2704384
5,Montclare,1997,2014520
5,Montclare,1998,1296957
5,Montclare,1999,1195255
5,Montclare,2000,1673721
5,Montclare,2001,1960525
3,Morgan Park,1990,3618152
3,Morgan Park,1991,3393413
3,Morgan Park,1992,3284388
3,Morgan Park,1993,3416780
3,Morgan Park,1994,5157047
3,Morgan Park,1995,7083718
3,Morgan Park,1996,6834679
3,Morgan Park,1997,4770391
3,Morgan Park,1998,3321495
3,Morgan Park,1999,4134572
3,Morgan Park,2000,5664147
3,Morgan Park,2001,5614953
1,Mount Greenwood,1990,2839535
1,Mount Greenwood,1991,3170829
1,Mount Greenwood,1992,2901244
1,Mount Greenwood,1993,3223285
1,Mount Greenwood,1994,5161412
1,Mount Greenwood,1995,7133184
1,Mount Greenwood,1996,7993124
1,Mount Greenwood,1997,5518795
1,Mount Greenwood,1998,3837596
1,Mount Greenwood,1999,3582553
1,Mount Greenwood,2000,4857354
1,Mount Greenwood,2001,5045870
0,Near North Side,1990,716090
0,Near North Side,1991,674510
0,Near North Side,1992,635199
0,Near North Side,1993,594099
0,Near North Side,1994,852459
0,Near North Side,1995,1160682
0,Near North Side,1996,1380821
0,Near North Side,1997,1375412
0,Near North Side,1998,927074
0,Near North Side,1999,789084
0,Near North Side,2000,914490
0,Near North Side,2001,1153718
0,Near South Side,1990,463881
0,Near South Side,1991,462957
0,Near South Side,1992,392382
0,Near South Side,1993,340157
0,Near South Side,1994,479085
0,Near South Side,1995,620650
0,Near South Side,1996,929164
0,Near South Side,1997,833293
0,Near South Side,1998,599562
0,Near South Side,1999,412039
0,Near South Side,2000,516570
0,Near South Side,2001,683211
1,Near West Side,1990,932580
1,Near West Side,1991,1027999
1,Near West Side,1992,929834
1,Near West Side,1993,846674
1,Near West Side,1994,1038340
1,Near West Side,1995,1344633
1,Near West Side,1996,1922558
1,Near West Side,1997,1775792
1,Near West Side,1998,1399868
1,Near West Side,1999,1003750
1,Near West Side,2000,1196205
1,Near West Side,2001,1635713
9,New City,1990,1729163
9,New City,1991,1675226
9,New City,1992,1495257
9,New City,1993,1535329
9,New City,1994,1768577
9,New City,1995,2321553
9,New City,1996,3017809
9,New City,1997,3022131
9,New City,1998,1941275
9,New City,1999,1608771
9,New City,2000,2190887
9,New City,2001,2838834
6,North Center,1990,1902126
6,North Center,1991,1934049
6,North Center,1992,1763553
6,North Center,1993,1803174
6,North Center,1994,2402879
6,North Center,1995,3800702
6,North Center,1996,4296419
6,North Center,1997,3303461
6,North Center,1998,2246738
6,North Center,1999,2130225
6,North Center,2000,2894785
6,North Center,2001,3337444
8,North Lawndale,1990,529133
8,North Lawndale,1991,651739
8,North Lawndale,1992,653066
8,North Lawndale,1993,585979
8,North Lawndale,1994,662899
8,North Lawndale,1995,779578
8,North Lawndale,1996,1086144
8,North Lawndale,1997,1113432
8,North Lawndale,1998,895048
8,North Lawndale,1999,676120
8,North Lawndale,2000,949215
8,North Lawndale,2001,1220394
3,North Park,1990,1394146
3,North Park,1991,1406264
3,North Park,1992,1297981
3,North Park,1993,1457164
3,North Park,1994,1973754
3,North Park,1995,3118286
3,North Park,1996,2986381
3,North Park,1997,2185224
3,North Park,1998,1402804
3,North Park,1999,1425155
3,North Park,2000,2273064
3,North Park,2001,2060951
2,Norwood Park,1990,5380151
2,Norwood Park,1991,5178308
2,Norwood Park,1992,4997125
2,Norwood Park,1993,5591938
2,Norwood Park,1994,8666729
2,Norwood Park,1995,13187382
2,Norwood Park,1996,12769093
2,Norwood Park,1997,8452241
2,Norwood Park,1998,5463807
2,Norwood Park,1999,5709013
2,Norwood Park,2000,9183156
2,Norwood Park,2001,8386088
7,O'Hare,1990,314264
7,O'Hare,1991,326632
7,O'Hare,1992,374818
7,O'Hare,1993,379296
7,O'Hare,1994,635190
7,O'Hare,1995,961574
7,O'Hare,1996,961395
7,O'Hare,1997,555710
7,O'Hare,1998,320390
7,O'Hare,1999,465881
7,O'Hare,2000,631855
7,O'Hare,2001,527695
2,Oakland,1990,113099
2,Oakland,1991,116363
2,Oakland,1992,98871
2,Oakland,1993,98269
2,Oakland,1994,99833
2,Oakland,1995,133324
2,Oakland,1996,170538
2,Oakland,1997,164606
2,Oakland,1998,124751
2,Oakland,1999,98708
2,Oakland,2000,134465
2,Oakland,2001,191697
3,Portage Park,1990,5271252
3,Portage Park,1991,5521034
3,Portage Park,1992,5248760
3,Portage Park,1993,5300169
3,Portage Park,1994,7020911
3,Portage Park,1995,10860181
3,Portage Park,1996,12949381
3,Portage Park,1997,9228777
3,Portage Park,1998,5957638
3,Portage Park,1999,6194813
3,Portage Park,2000,8413842
3,Portage Park,2001,9380580
5,Pullman,1990,672698
5,Pullman,1991,672499
5,Pullman,1992,649368
5,Pullman,1993,611596
5,Pullman,1994,815736
5,Pullman,1995,1237693
5,Pullman,1996,1279877
5,Pullman,1997,867342
5,Pullman,1998,747347
5,Pullman,1999,764718
5,Pullman,2000,1182671
5,Pullman,2001,1083548
9,Riverdale,1990,95634
9,Riverdale,1991,154278
9,Riverdale,1992,150778
9,Riverdale,1993,127261
9,Riverdale,1994,143339
9,Riverdale,1995,178017
9,Riverdale,1996,234849
9,Riverdale,1997,213416
9,Riverdale,1998,169093
9,Riverdale,1999,136881
9,Riverdale,2000,218063
9,Riverdale,2001,262263
3,Rogers Park,1990,673068
3,Rogers Park,1991,738811
3,Rogers Park,1992,692042
3,Rogers Park,1993,709248
3,Rogers Park,1994,951249
3,Rogers Park,1995,1338726
3,Rogers Park,1996,1329085
3,Rogers Park,1997,1059482
3,Rogers Park,1998,759775
3,Rogers Park,1999,846201
3,Rogers Park,2000,1146657
3,Rogers Park,2001,1215168
5,Roseland,1990,5186953
5,Roseland,1991,5020328
5,Roseland,1992,4534698
5,Roseland,1993,4509452
5,Roseland,1994,6039745
5,Roseland,1995,8610255
5,Roseland,1996,8735114
5,Roseland,1997,6103833
5,Roseland,1998,4909811
5,Roseland,1999,5295504
5,Roseland,2000,8747356
5,Roseland,2001,8000283
7,South Chicago,1990,1699290
7,South Chicago,1991,1770708
7,South Chicago,1992,1816157
7,South Chicago,1993,1638761
7,South Chicago,1994,1992238
7,South Chicago,1995,2722646
7,South Chicago,1996,3109051
7,South Chicago,1997,2597525
7,South Chicago,1998,1955417
7,South Chicago,1999,2069841
7,South Chicago,2000,2867581
7,South Chicago,2001,3361056
6,South Deering,1990,1676670
6,South Deering,1991,1700448
6,South Deering,1992,1555626
6,South Deering,1993,1452140
6,South Deering,1994,2130743
6,South Deering,1995,3267084
6,South Deering,1996,3272534
6,South Deering,1997,2212051
6,South Deering,1998,1725521
6,South Deering,1999,1785874
6,South Deering,2000,2783813
6,South Deering,2001,2624712
9,South Lawndale,1990,1821081
9,South Lawndale,1991,2114052
9,South Lawndale,1992,2021291
9,South Lawndale,1993,1859443
9,South Lawndale,1994,1990772
9,South Lawndale,1995,2483152
9,South Lawndale,1996,3560673
9,South Lawndale,1997,3615722
9,South Lawndale,1998,2749901
9,South Lawndale,1999,2096288
9,South Lawndale,2000,2578783
9,South Lawndale,2001,3706991
